,open,high,low,close,volume,vwap,timestamp,transactions,otc,sma25,sma100,sma200,rsi,macd
629,59.46,59.6,58.77,58.82,4557345.0,58.984,1632888000000,51926,,57.72400000000002,54.18309999999999,48.75895000000002,58.80103169056895,1.4168840914003198
630,58.92,59.17,57.55,57.56,4991967.0,58.0644,1632974400000,51460,,57.56240000000002,54.053499999999985,48.61300000000002,52.79178364588243,1.3905812449217265
631,57.67,59.01,57.25,58.58,6925256.0,58.3441,1633060800000,53995,,57.49240000000002,53.93349999999999,48.48540000000003,60.25777539042796,1.5638371573083631
632,58.58,59.0,57.68,58.24,5647462.0,58.275,1633320000000,59178,,57.381200000000014,53.78109999999998,48.348150000000025,70.94439253783554,1.5545188904664684
633,58.26,59.445,58.1,59.1,5646408.0,59.0077,1633406400000,49744,,57.13560000000001,53.614699999999985,48.20135000000002,67.33523530689699,1.2817596641996616
634,58.36,58.57,56.3,57.16,8699078.0,57.1,1633492800000,80270,,56.94320000000002,53.45919999999998,48.05500000000002,69.16450301673545,1.0748304748307547
635,57.89,59.47,57.79,58.51,7235870.0,58.7561,1633579200000,61439,,56.83000000000002,53.30919999999998,47.902400000000014,63.873758807743314,0.7584251389478283
636,58.81,59.29,58.4,58.71,4322196.0,58.8219,1633665600000,44093,,56.81560000000001,53.16569999999998,47.76730000000002,53.936161222803385,0.5563452354907312
637,59.25,59.78,58.21,58.23,4139030.0,58.7561,1633924800000,42462,,56.95480000000001,53.05419999999997,47.644800000000025,59.169931447845045,0.5784709552892693
638,58.02,58.37,57.5,57.74,5443834.0,57.8192,1634011200000,47776,,56.96760000000001,52.93619999999997,47.52175000000002,60.334893298182344,0.49851547830064646
639,57.92,58.05,56.65,56.91,7691227.0,57.0716,1634097600000,59673,,56.94600000000001,52.826699999999974,47.41145000000002,58.148815232898464,0.36783026253259976
640,57.43,58.78,57.14,58.74,6420434.0,58.3401,1634184000000,54719,,56.96040000000001,52.72429999999998,47.30805000000002,56.36222505733218,0.25676905604274225
641,59.47,59.73,58.84,58.96,4288162.0,59.1979,1634270400000,40469,,56.99080000000001,52.65129999999997,47.19905000000003,56.36222505733218,0.16015247530778964
642,57.7,59.39,57.6,58.95,4660432.0,58.86,1634529600000,46547,,56.916000000000004,52.58429999999998,47.08290000000002,52.461593030003634,0.034505094437975004
643,59.09,59.27,58.54,59.19,3650874.0,59.0196,1634616000000,38537,,56.81360000000001,52.51529999999997,46.96550000000003,55.702288522230475,-0.01742309124586683
644,59.16,60.6075,58.9412,59.89,5875321.0,60.0372,1634702400000,51929,,56.73960000000001,52.452499999999965,46.841550000000026,55.32645640349456,-0.1598125487369444
645,60.07,61.17,57.96,59.26,8916567.0,58.9701,1634788800000,73225,,56.66880000000001,52.380999999999965,46.714550000000024,52.248482595988165,-0.32802872831664587
646,59.64,60.19,58.38,58.4,5889477.0,59.0612,1634875200000,49774,,56.58840000000001,52.31609999999997,46.58725000000002,48.63353328398431,-0.44632605238649603
647,59.24,59.535,58.61,58.71,6293204.0,59.0536,1635134400000,56467,,56.546000000000014,52.249599999999965,46.46815000000002,45.78482664377457,-0.49002443980094057
648,58.71,59.76,58.1801,58.71,6875227.0,58.9377,1635220800000,54547,,56.55320000000002,52.19579999999996,46.36220000000002,37.723878382790176,-0.46332638970373097
649,58.58,58.58,55.9,56.0,11512727.0,56.6793,1635307200000,83546,,56.633200000000016,52.14759999999997,46.25660000000002,33.53003682248422,-0.23312885827486696
650,56.25,56.86,56.21,56.57,5974358.0,56.4898,1635393600000,58237,,56.744000000000014,52.114599999999975,46.15825000000002,41.01271470193814,0.150623319778326
651,56.13,56.65,55.66,55.97,5894889.0,56.0475,1635480000000,52978,,56.772000000000006,52.054699999999976,46.06320000000002,41.04701265569386,0.3857306696603544
652,56.01,57.98,56.01,57.44,7561994.0,57.3965,1635739200000,50737,,56.82280000000001,52.00299999999997,45.967400000000026,45.854037422524065,0.6791843319510846
653,57.64,58.74,57.24,58.47,5929491.0,58.162,1635825600000,48241,,56.7464,51.91829999999998,45.871500000000026,52.10819223971207,0.9064043251737814
654,58.49,59.585,58.09,59.05,6234335.0,59.1447,1635912000000,55802,,56.6104,51.79719999999998,45.75930000000003,53.33216880880654,1.031526508157306
655,59.0,59.015,56.795,57.17,9047906.0,57.3959,1635998400000,70941,,56.47560000000001,51.68269999999998,45.63345000000003,53.59192701321972,1.1487329815921754
656,57.24,58.745,57.24,58.31,4979097.0,58.3371,1636084800000,47133,,56.29560000000001,51.56869999999998,45.49835000000004,58.00818841000705,1.275513127953161
657,58.93,59.68,58.295,58.57,4894141.0,58.793,1636347600000,45598,,56.11280000000001,51.44639999999998,45.34535000000003,54.491428536013046,1.3159414147200437
658,58.54,59.12,58.395,58.79,4447808.0,58.837,1636434000000,38597,,55.988000000000014,51.326799999999984,45.19775000000004,53.64318993070655,1.452256189252033
659,58.84,59.29,58.49,58.76,5104029.0,58.8616,1636520400000,44338,,55.88200000000002,51.21489999999998,45.04640000000005,64.5331904456949,1.6295560478110147
660,59.08,59.98,59.02,59.68,4140414.0,59.7124,1636606800000,35188,,55.67800000000001,51.054299999999984,44.89435000000005,66.57108638957527,1.5938979611308568
661,59.79,60.55,59.46,60.06,3499439.0,60.1198,1636693200000,32298,,55.405200000000015,50.89089999999998,44.737450000000045,72.19809669871051,1.4865103965153779
662,60.5,60.82,59.78,59.92,3470443.0,59.9753,1636952400000,35034,,55.16560000000001,50.726899999999986,44.57505000000004,66.52747025067453,1.2249864810023112
663,59.97,59.99,58.84,58.86,4004669.0,59.29,1637038800000,39776,,54.95520000000001,50.58539999999999,44.429150000000035,64.52409563908607,1.0953325163874084
664,58.68,58.98,58.17,58.34,3342386.0,58.5269,1637125200000,33812,,54.75480000000002,50.44789999999999,44.290000000000035,66.22274613562321,0.9800966194951286
665,58.35,58.37,57.67,57.98,3801860.0,57.9948,1637211600000,33461,,54.55560000000001,50.31149999999999,44.13980000000003,66.00111497133383,0.7882123057235972
666,57.45,57.52,56.03,57.34,7425308.0,56.8535,1637298000000,68877,,54.33880000000001,50.17149999999999,43.98055000000003,57.48528846807274,0.5399786935173978
667,57.56,59.29,57.41,58.79,5310320.0,58.8172,1637557200000,53160,,54.322800000000015,50.056299999999986,43.83875000000003,49.6483150422878,0.4830699202139712
668,59.34,59.72,58.83,59.18,5280023.0,59.1948,1637643600000,38297,,54.41840000000002,49.96089999999998,43.70915000000004,57.86464639904881,0.5826071598126603
669,58.9,59.37,58.59,58.63,3307108.0,58.8479,1637730000000,31186,,54.50760000000002,49.85389999999998,43.56385000000004,57.731178357460166,0.5525240414849861
670,56.64,57.77,55.98,57.6,4317492.0,56.8442,1637902800000,43525,,54.526400000000024,49.72549999999998,43.41950000000004,52.41224187802833,0.5091448753069656
671,57.9,58.38,56.38,56.86,4529944.0,57.0659,1638162000000,52864,,54.54240000000002,49.602699999999984,43.25785000000005,52.216332783768394,0.562444268653465
672,56.26,56.49,54.41,54.93,10398194.0,55.0335,1638248400000,73992,,54.584400000000024,49.47969999999999,43.11485000000004,54.83666093807154,0.626365395889863
673,55.49,55.8,52.7,52.76,9123937.0,54.1323,1638334800000,84072,,54.604800000000026,49.344999999999985,42.95925000000004,54.66767029522561,0.6479321379859257
674,52.5,53.475,52.07,53.18,7333261.0,53.0299,1638421200000,73260,,54.59400000000002,49.198399999999985,42.82545000000004,54.35045186609043,0.6701074031632857
675,53.0,53.8199,52.73,53.07,6969330.0,53.1924,1638507600000,74119,,54.56440000000002,49.062299999999986,42.709100000000035,56.22273500487887,0.6968095430345542
676,54.36,54.7184,53.84,53.88,6066355.0,54.1365,1638766800000,57789,,54.440000000000026,48.92879999999998,42.58635000000004,58.887448735234194,0.6790103172988395
677,54.45,55.38,54.27,54.86,5806937.0,55.0294,1638853200000,50664,,54.25520000000002,48.80739999999999,42.50290000000004,52.25799652728371,0.587360973653638
678,55.31,55.48,54.78,54.91,5013675.0,55.0604,1638939600000,44434,,54.190400000000025,48.69529999999999,42.43425000000004,52.257996527283716,0.6481669245115285
