,open,high,low,close,volume,vwap,timestamp,transactions,otc
640,90.39,91.81,89.22,89.46,2338453.0,90.3621,1616040000000,31406,
641,88.97,89.42,87.26,88.49,11285945.0,88.5509,1616126400000,38330,
642,88.68,89.88,87.79,89.35,2259983.0,89.205,1616385600000,32268,
643,88.45,89.72,86.85,87.22,2678945.0,87.8465,1616472000000,29323,
644,88.0,89.915,88.0,88.06,2207941.0,88.8268,1616558400000,28002,
645,87.62,89.44,86.745,89.19,2198559.0,88.4916,1616644800000,27712,
646,90.09,91.7,89.57,91.57,4133255.0,90.7505,1616731200000,37011,
647,91.03,92.25,90.76,91.23,3308129.0,91.3523,1616990400000,35772,
648,91.52,91.91,90.65,91.14,2651760.0,91.1665,1617076800000,23798,
649,91.14,91.65,90.01,90.22,3594567.0,90.4406,1617163200000,30282,
650,90.17,90.615,89.55,90.41,3412012.0,90.1107,1617249600000,31633,
651,91.16,92.55,91.15,91.61,3692152.0,91.8949,1617595200000,39493,
652,91.83,92.63,91.13,91.47,2905800.0,91.7314,1617681600000,27271,
653,91.32,91.94,90.58,91.09,2889124.0,91.0037,1617768000000,27358,
654,91.03,91.2085,90.04,91.04,2453992.0,90.8576,1617854400000,25367,
655,91.47,92.63,90.93,91.94,3294413.0,91.488,1617940800000,33744,
656,91.9,92.37,91.58,92.01,2304517.0,91.9125,1618200000000,27287,
657,91.49,91.65,89.96,90.63,2809459.0,90.651,1618286400000,27540,
658,90.54,91.825,90.48,91.54,2933984.0,91.4945,1618372800000,26303,
659,92.17,92.3,90.84,91.72,3096597.0,91.6068,1618459200000,29260,
660,92.69,93.27,91.8097,92.2,2661609.0,92.3316,1618545600000,23537,
661,92.2,92.66,91.11,91.79,2568887.0,91.6338,1618804800000,22221,
662,91.41,91.7,89.91,90.83,2766063.0,90.6368,1618891200000,25673,
663,90.6,92.25,90.43,92.11,2406738.0,91.6345,1618977600000,27121,
664,92.47,92.47,91.42,91.52,2560897.0,91.8821,1619064000000,26115,
665,91.91,92.88,91.345,92.46,2403191.0,92.3821,1619150400000,23160,
666,92.77,93.57,92.09,92.13,2286061.0,92.5322,1619409600000,18642,
667,92.29,92.41,91.39,92.16,1950470.0,92.0703,1619496000000,20906,
668,92.11,92.6911,91.78,92.08,1488370.0,92.2175,1619582400000,17545,
669,92.85,92.91,91.88,92.79,1675264.0,92.5378,1619668800000,21101,
670,92.12,92.45,90.13,90.49,2568274.0,90.6948,1619755200000,29847,
671,91.67,91.93,90.69,90.93,2443227.0,91.0923,1620014400000,29062,
672,90.51,91.27,89.58,91.11,3131526.0,90.6269,1620100800000,31260,
673,89.77,91.39,89.03,90.89,5060497.0,90.5549,1620187200000,40990,
674,91.52,93.86,91.01,93.72,4336802.0,93.0591,1620273600000,42475,
675,93.66,95.26,92.61,95.05,3469303.0,94.392,1620360000000,35130,
676,95.6,96.9,95.37,95.38,2403145.0,96.0652,1620619200000,27669,
677,94.5,95.65,93.77,95.26,3415047.0,94.8796,1620705600000,38584,
678,95.19,95.45,93.19,93.35,4103680.0,94.0905,1620792000000,44227,
679,92.92,95.115,92.79,94.71,2326467.0,94.254,1620878400000,30079,
680,95.34,96.17,94.96,95.84,1985715.0,95.7113,1620964800000,25462,
681,95.73,96.05,94.93,95.52,2335149.0,95.4596,1621224000000,24577,
682,95.62,95.89,94.08,94.22,2023029.0,94.6952,1621310400000,26168,
683,92.65,93.35,91.75,93.32,2799646.0,92.7514,1621396800000,37347,
684,93.55,93.77,92.8,93.44,2185959.0,93.3589,1621483200000,26719,
685,93.98,94.635,92.94,93.65,2536060.0,93.7971,1621569600000,25637,
686,94.15,94.53,93.31,94.01,1897496.0,94.0788,1621828800000,25523,
687,94.02,94.63,93.255,93.41,2024588.0,93.7333,1621915200000,25807,
688,93.34,93.75,92.61,93.31,2008673.0,93.1732,1622001600000,23440,
